Date,Adj Close,Close,High,Low,Open,Volume
2019-11-14 00:00:00+00:00,63.66,65.66,66.22,65.53,65.94,89182800.00
2019-11-15 00:00:00+00:00,64.41,66.44,66.44,65.75,65.92,100206400.00
2019-11-18 00:00:00+00:00,64.74,66.78,66.86,66.06,66.45,86703200.00
2019-11-19 00:00:00+00:00,64.54,66.57,67.00,66.35,66.97,76167200.00
2019-11-20 00:00:00+00:00,63.79,65.80,66.52,65.10,66.39,106234400.00
2019-11-21 00:00:00+00:00,63.50,65.50,66.00,65.29,65.92,121395200.00
2019-11-22 00:00:00+00:00,63.45,65.44,65.79,65.21,65.65,65325200.00
2019-11-25 00:00:00+00:00,64.56,66.59,66.61,65.63,65.68,84020400.00
2019-11-26 00:00:00+00:00,64.06,66.07,66.79,65.63,66.74,105207600.00
2019-11-27 00:00:00+00:00,64.92,66.96,67.00,66.33,66.39,65235600.00
2019-11-29 00:00:00+00:00,64.77,66.81,67.00,66.47,66.65,46617600.00
2019-12-02 00:00:00+00:00,64.02,66.04,67.06,65.86,66.82,94487200.00
2019-12-03 00:00:00+00:00,62.88,64.86,64.88,64.07,64.58,114430400.00
2019-12-04 00:00:00+00:00,63.44,65.43,65.83,65.17,65.27,67181600.00
2019-12-05 00:00:00+00:00,64.37,66.39,66.47,65.68,65.95,74424400.00
2019-12-06 00:00:00+00:00,65.61,67.68,67.75,66.82,66.87,106075600.00
2019-12-09 00:00:00+00:00,64.69,66.73,67.70,66.23,67.50,128042400.00
2019-12-10 00:00:00+00:00,65.07,67.12,67.52,66.46,67.15,90420400.00
2019-12-11 00:00:00+00:00,65.63,67.69,67.78,67.13,67.20,78756800.00
2019-12-12 00:00:00+00:00,65.79,67.86,68.14,66.83,66.94,137310400.00
2019-12-13 00:00:00+00:00,66.69,68.79,68.82,67.73,67.86,133587600.00
2019-12-16 00:00:00+00:00,67.83,69.96,70.20,69.25,69.25,128186000.00
2019-12-17 00:00:00+00:00,67.96,70.10,70.44,69.70,69.89,114158400.00
2019-12-18 00:00:00+00:00,67.80,69.93,70.47,69.78,69.95,116028400.00
2019-12-19 00:00:00+00:00,67.87,70.00,70.29,69.74,69.88,98369200.00
2019-12-20 00:00:00+00:00,67.73,69.86,70.66,69.64,70.56,275978000.00
2019-12-23 00:00:00+00:00,68.83,71.00,71.06,70.09,70.13,98572000.00
2019-12-24 00:00:00+00:00,68.90,71.07,71.22,70.73,71.17,48478800.00
2019-12-26 00:00:00+00:00,70.27,72.48,72.50,71.18,71.21,93121200.00
2019-12-27 00:00:00+00:00,70.24,72.45,73.49,72.03,72.78,146266000.00
2019-12-30 00:00:00+00:00,70.66,72.88,73.17,71.31,72.36,144114400.00
2019-12-31 00:00:00+00:00,71.17,73.41,73.42,72.38,72.48,100805600.00
2020-01-02 00:00:00+00:00,72.80,75.09,75.15,73.80,74.06,135480400.00
2020-01-03 00:00:00+00:00,72.09,74.36,75.14,74.13,74.29,146322800.00
2020-01-06 00:00:00+00:00,72.66,74.95,74.99,73.19,73.45,118387200.00
2020-01-07 00:00:00+00:00,72.32,74.60,75.22,74.37,74.96,108872000.00
2020-01-08 00:00:00+00:00,73.48,75.80,76.11,74.29,74.29,132079200.00
2020-01-09 00:00:00+00:00,75.05,77.41,77.61,76.55,76.81,170108400.00
2020-01-10 00:00:00+00:00,75.21,77.58,78.17,77.06,77.65,140644800.00
2020-01-13 00:00:00+00:00,76.82,79.24,79.27,77.79,77.91,121532000.00
2020-01-14 00:00:00+00:00,75.78,78.17,79.39,78.04,79.18,161954400.00
2020-01-15 00:00:00+00:00,75.46,77.83,78.88,77.39,77.96,121923600.00
2020-01-16 00:00:00+00:00,76.40,78.81,78.93,78.02,78.40,108829200.00
2020-01-17 00:00:00+00:00,77.25,79.68,79.68,78.75,79.07,137816400.00
2020-01-21 00:00:00+00:00,76.73,79.14,79.75,79.00,79.30,110843200.00
2020-01-22 00:00:00+00:00,77.00,79.43,80.00,79.33,79.64,101832400.00
2020-01-23 00:00:00+00:00,77.37,79.81,79.89,78.91,79.48,104472000.00
