Date,Adj Close,Close,High,Low,Open,Volume
2019-11-14 00:00:00+00:00,50.99,57.81,58.04,57.57,57.61,12119000.00
2019-11-15 00:00:00+00:00,51.13,57.96,58.70,57.62,58.17,16112100.00
2019-11-18 00:00:00+00:00,51.38,58.25,58.48,57.57,57.70,16097500.00
2019-11-19 00:00:00+00:00,51.47,58.35,58.65,57.75,58.48,17061900.00
2019-11-20 00:00:00+00:00,51.07,57.90,58.36,57.37,58.26,18542300.00
2019-11-21 00:00:00+00:00,51.36,58.22,58.30,57.41,57.49,16139000.00
2019-11-22 00:00:00+00:00,50.82,57.61,58.65,57.49,58.34,15690200.00
2019-11-25 00:00:00+00:00,51.88,58.81,58.84,58.00,58.00,15011700.00
2019-11-26 00:00:00+00:00,51.96,58.90,59.13,58.45,58.95,22338700.00
2019-11-27 00:00:00+00:00,51.61,58.51,58.59,57.91,58.53,18184200.00
2019-11-29 00:00:00+00:00,51.21,58.05,58.30,57.79,58.15,9481100.00
2019-12-02 00:00:00+00:00,50.86,57.66,58.69,57.47,58.55,19154500.00
2019-12-03 00:00:00+00:00,49.46,56.07,56.86,55.75,56.86,25737400.00
2019-12-04 00:00:00+00:00,49.41,56.02,56.66,55.86,56.66,18881400.00
2019-12-05 00:00:00+00:00,49.47,56.08,56.41,55.76,56.41,17673700.00
2019-12-06 00:00:00+00:00,50.11,56.81,56.99,56.42,56.66,16476800.00
2019-12-09 00:00:00+00:00,49.86,56.53,56.96,56.50,56.54,14298600.00
2019-12-10 00:00:00+00:00,49.92,56.59,56.83,56.44,56.71,16157900.00
2019-12-11 00:00:00+00:00,50.34,57.07,57.17,56.58,56.91,20051100.00
2019-12-12 00:00:00+00:00,50.76,57.55,58.05,56.61,56.75,27883300.00
2019-12-13 00:00:00+00:00,50.98,57.79,58.34,57.38,57.55,22795200.00
2019-12-16 00:00:00+00:00,50.90,57.70,58.57,57.65,58.21,19131200.00
2019-12-17 00:00:00+00:00,50.54,57.30,58.10,57.13,58.00,21653100.00
2019-12-18 00:00:00+00:00,50.43,57.17,57.46,56.94,57.39,28261000.00
2019-12-19 00:00:00+00:00,51.13,57.96,57.99,56.97,57.17,18865100.00
2019-12-20 00:00:00+00:00,52.00,58.95,59.05,57.89,58.32,49953000.00
2019-12-23 00:00:00+00:00,52.25,59.23,59.78,59.04,59.06,23593000.00
2019-12-24 00:00:00+00:00,52.41,59.41,59.48,59.16,59.25,6313200.00
2019-12-26 00:00:00+00:00,52.77,59.82,59.85,59.35,59.41,11480300.00
2019-12-27 00:00:00+00:00,53.00,60.08,60.48,59.90,59.91,14085800.00
2019-12-30 00:00:00+00:00,52.59,59.62,60.05,59.38,59.99,12750500.00
2019-12-31 00:00:00+00:00,52.79,59.85,59.93,59.36,59.62,14432900.00
2020-01-02 00:00:00+00:00,53.67,60.84,60.97,60.22,60.24,18056000.00
2020-01-03 00:00:00+00:00,53.01,60.10,60.70,59.81,59.81,15293900.00
2020-01-06 00:00:00+00:00,52.86,59.93,60.20,59.33,59.59,17755200.00
2020-01-07 00:00:00+00:00,51.98,58.93,59.80,58.89,59.78,21876100.00
2020-01-08 00:00:00+00:00,52.02,58.97,59.32,58.52,58.89,23133500.00
2020-01-09 00:00:00+00:00,52.31,59.30,59.51,58.83,59.05,18813300.00
2020-01-10 00:00:00+00:00,51.99,58.94,60.08,58.87,59.57,15200600.00
2020-01-13 00:00:00+00:00,52.56,59.59,59.78,59.08,59.17,16453300.00
2020-01-14 00:00:00+00:00,52.42,59.43,59.74,59.19,59.49,17051200.00
2020-01-15 00:00:00+00:00,51.99,58.94,59.65,58.75,59.30,18498800.00
