Date,Adj Close,Close,High,Low,Open,Volume
2019-11-14 00:00:00+00:00,141.42,148.06,148.41,147.00,147.02,19729800.00
2019-11-15 00:00:00+00:00,143.24,149.97,149.99,148.27,148.93,23485700.00
2019-11-18 00:00:00+00:00,143.60,150.34,150.55,148.98,150.07,21534000.00
2019-11-19 00:00:00+00:00,143.64,150.39,151.33,150.20,150.88,23935700.00
2019-11-20 00:00:00+00:00,143.40,149.62,150.84,148.46,150.31,25696800.00
2019-11-21 00:00:00+00:00,143.26,149.48,149.80,148.50,149.40,18576100.00
2019-11-22 00:00:00+00:00,143.37,149.59,150.30,148.82,150.07,15901800.00
2019-11-25 00:00:00+00:00,144.94,151.23,151.35,149.92,150.00,22420900.00
2019-11-26 00:00:00+00:00,145.71,152.03,152.42,151.32,151.36,24620100.00
2019-11-27 00:00:00+00:00,145.98,152.32,152.50,151.52,152.33,15184400.00
2019-11-29 00:00:00+00:00,145.08,151.38,152.30,151.28,152.10,11977300.00
2019-12-02 00:00:00+00:00,143.33,149.55,151.83,148.32,151.81,27418400.00
2019-12-03 00:00:00+00:00,143.10,149.31,149.43,146.65,147.49,24066000.00
2019-12-04 00:00:00+00:00,143.62,149.85,150.18,149.20,150.14,17574700.00
2019-12-05 00:00:00+00:00,143.69,149.93,150.32,149.48,150.05,17869100.00
2019-12-06 00:00:00+00:00,145.44,151.75,151.87,150.27,150.99,16403500.00
2019-12-09 00:00:00+00:00,145.06,151.36,152.21,150.91,151.07,16687400.00
2019-12-10 00:00:00+00:00,144.84,151.13,151.89,150.76,151.29,16476100.00
2019-12-11 00:00:00+00:00,145.39,151.70,151.87,150.33,151.54,18856600.00
2019-12-12 00:00:00+00:00,146.87,153.24,153.44,151.02,151.65,24612100.00
2019-12-13 00:00:00+00:00,148.10,154.53,154.89,152.83,153.00,23845400.00
2019-12-16 00:00:00+00:00,149.06,155.53,155.90,154.82,155.11,24144200.00
2019-12-17 00:00:00+00:00,148.25,154.69,155.71,154.45,155.45,25425600.00
2019-12-18 00:00:00+00:00,147.95,154.37,155.48,154.18,154.30,24129200.00
2019-12-19 00:00:00+00:00,149.23,155.71,155.77,153.75,154.00,24958900.00
2019-12-20 00:00:00+00:00,150.86,157.41,158.49,156.29,157.35,53477500.00
2019-12-23 00:00:00+00:00,150.86,157.41,158.12,157.27,158.12,17718200.00
2019-12-24 00:00:00+00:00,150.83,157.38,157.71,157.12,157.48,8989200.00
2019-12-26 00:00:00+00:00,152.07,158.67,158.73,157.40,157.56,14520600.00
2019-12-27 00:00:00+00:00,152.35,158.96,159.55,158.22,159.45,18412800.00
2019-12-30 00:00:00+00:00,151.03,157.59,159.02,156.73,158.99,16348400.00
2019-12-31 00:00:00+00:00,151.14,157.70,157.77,156.45,156.77,18369400.00
