Date,Adj Close,Close,High,Low,Open,Volume
2019-11-14 00:00:00+00:00,5.22,5.24,5.25,5.16,5.22,518080000.00
2019-11-15 00:00:00+00:00,5.08,5.10,5.29,5.02,5.24,1053628000.00
2019-11-18 00:00:00+00:00,5.28,5.31,5.33,5.09,5.10,574588000.00
2019-11-19 00:00:00+00:00,5.17,5.20,5.30,5.14,5.28,414564000.00
2019-11-20 00:00:00+00:00,5.25,5.28,5.36,5.16,5.18,472588000.00
2019-11-21 00:00:00+00:00,5.23,5.25,5.33,5.23,5.28,288388000.00
2019-11-22 00:00:00+00:00,5.25,5.27,5.32,5.25,5.28,224100000.00
2019-11-25 00:00:00+00:00,5.50,5.53,5.54,5.39,5.40,506476000.00
2019-11-26 00:00:00+00:00,5.40,5.43,5.52,5.42,5.51,385244000.00
2019-11-27 00:00:00+00:00,5.43,5.46,5.50,5.43,5.47,215784000.00
2019-11-29 00:00:00+00:00,5.40,5.42,5.45,5.39,5.43,141556000.00
2019-12-02 00:00:00+00:00,5.21,5.23,5.43,5.22,5.41,372036000.00
2019-12-03 00:00:00+00:00,5.17,5.19,5.20,5.01,5.05,465232000.00
2019-12-04 00:00:00+00:00,5.21,5.24,5.30,5.21,5.28,273424000.00
2019-12-05 00:00:00+00:00,5.20,5.22,5.27,5.19,5.26,184884000.00
2019-12-06 00:00:00+00:00,5.28,5.30,5.34,5.28,5.29,232236000.00
2019-12-09 00:00:00+00:00,5.28,5.30,5.36,5.27,5.28,211880000.00
2019-12-10 00:00:00+00:00,5.33,5.35,5.40,5.28,5.33,256388000.00
2019-12-11 00:00:00+00:00,5.41,5.43,5.44,5.36,5.36,233796000.00
2019-12-12 00:00:00+00:00,5.58,5.60,5.62,5.40,5.40,404348000.00
2019-12-13 00:00:00+00:00,5.58,5.60,5.72,5.55,5.60,454704000.00
2019-12-16 00:00:00+00:00,5.61,5.63,5.70,5.62,5.65,320976000.00
2019-12-17 00:00:00+00:00,5.68,5.71,5.73,5.64,5.65,321196000.00
2019-12-18 00:00:00+00:00,5.71,5.74,5.80,5.73,5.74,343548000.00
2019-12-19 00:00:00+00:00,5.86,5.89,5.90,5.77,5.77,445360000.00
2019-12-20 00:00:00+00:00,5.96,5.98,6.01,5.93,5.95,603044000.00
2019-12-23 00:00:00+00:00,5.95,5.97,6.05,5.96,6.01,355060000.00
2019-12-24 00:00:00+00:00,5.94,5.97,5.98,5.92,5.95,138864000.00
2019-12-26 00:00:00+00:00,5.96,5.98,6.01,5.95,5.97,182852000.00
2019-12-27 00:00:00+00:00,5.90,5.92,6.01,5.90,5.99,254644000.00
2019-12-30 00:00:00+00:00,5.78,5.81,5.91,5.78,5.90,258056000.00
2019-12-31 00:00:00+00:00,5.86,5.88,5.89,5.75,5.77,231004000.00
2020-01-02 00:00:00+00:00,5.97,6.00,6.00,5.92,5.97,237536000.00
2020-01-03 00:00:00+00:00,5.88,5.90,5.95,5.85,5.88,205384000.00
2020-01-06 00:00:00+00:00,5.90,5.93,5.93,5.78,5.81,262636000.00
2020-01-07 00:00:00+00:00,5.97,6.00,6.04,5.91,5.95,314856000.00
2020-01-08 00:00:00+00:00,5.98,6.01,6.05,5.95,5.99,277108000.00
2020-01-09 00:00:00+00:00,6.05,6.08,6.15,6.02,6.10,255112000.00
2020-01-10 00:00:00+00:00,6.08,6.11,6.21,6.09,6.18,316296000.00
2020-01-13 00:00:00+00:00,6.27,6.30,6.32,6.17,6.19,319840000.00
2020-01-14 00:00:00+00:00,6.16,6.18,6.28,6.17,6.26,359088000.00
2020-01-15 00:00:00+00:00,6.11,6.14,6.22,6.11,6.19,263104000.00
2020-01-16 00:00:00+00:00,6.20,6.22,6.23,6.17,6.19,284192000.00
