Date,Adj Close,Close,High,Low,Open,Volume
2019-11-14 00:00:00+00:00,11.75,12.37,12.42,12.27,12.40,2120500.00
2019-11-15 00:00:00+00:00,11.79,12.41,12.44,12.34,12.40,1626000.00
2019-11-18 00:00:00+00:00,11.86,12.49,12.60,12.47,12.60,4135500.00
2019-11-19 00:00:00+00:00,11.76,12.38,12.46,12.35,12.45,7562500.00
2019-11-20 00:00:00+00:00,11.68,12.30,12.38,12.25,12.34,4262500.00
2019-11-21 00:00:00+00:00,11.69,12.30,12.33,12.19,12.22,5748500.00
2019-11-22 00:00:00+00:00,11.62,12.24,12.34,12.23,12.33,3036000.00
2019-11-25 00:00:00+00:00,11.74,12.36,12.39,12.32,12.34,4397000.00
2019-11-26 00:00:00+00:00,11.99,12.63,12.64,12.52,12.60,11108500.00
2019-11-27 00:00:00+00:00,12.10,12.74,12.75,12.64,12.66,7827000.00
2019-11-29 00:00:00+00:00,12.06,12.70,12.72,12.64,12.65,4764000.00
2019-12-02 00:00:00+00:00,12.02,12.66,12.71,12.54,12.69,7577000.00
2019-12-03 00:00:00+00:00,12.27,12.92,12.93,12.78,12.88,8240500.00
2019-12-04 00:00:00+00:00,12.40,13.06,13.11,13.02,13.05,5619000.00
2019-12-05 00:00:00+00:00,12.38,13.04,13.06,12.96,13.03,5782000.00
2019-12-06 00:00:00+00:00,12.40,13.06,13.09,13.03,13.07,4999000.00
2019-12-09 00:00:00+00:00,12.52,13.19,13.26,13.12,13.12,6616000.00
2019-12-10 00:00:00+00:00,12.60,13.26,13.34,13.21,13.31,4364500.00
2019-12-11 00:00:00+00:00,12.64,13.31,13.31,13.24,13.30,6875500.00
2019-12-12 00:00:00+00:00,12.79,13.46,13.48,13.37,13.38,5761500.00
2019-12-13 00:00:00+00:00,12.83,13.51,13.56,13.44,13.48,5096000.00
2019-12-16 00:00:00+00:00,12.96,13.65,13.69,13.60,13.64,5547000.00
2019-12-17 00:00:00+00:00,12.87,13.55,13.62,13.54,13.61,3738000.00
2019-12-18 00:00:00+00:00,12.86,13.54,13.58,13.48,13.57,2788500.00
2019-12-19 00:00:00+00:00,12.89,13.58,13.64,13.56,13.61,3338000.00
2019-12-20 00:00:00+00:00,12.90,13.58,13.58,13.38,13.45,7972000.00
2019-12-23 00:00:00+00:00,12.93,13.62,13.63,13.52,13.56,3007000.00
2019-12-24 00:00:00+00:00,12.87,13.55,13.60,13.55,13.60,1322500.00
2019-12-26 00:00:00+00:00,12.92,13.60,13.61,13.57,13.60,2590000.00
2019-12-27 00:00:00+00:00,12.87,13.56,13.62,13.55,13.61,1755500.00
2019-12-30 00:00:00+00:00,12.86,13.54,13.56,13.45,13.56,4969500.00
2019-12-31 00:00:00+00:00,12.92,13.60,13.61,13.50,13.54,2748500.00
2020-01-02 00:00:00+00:00,13.12,13.81,13.81,13.66,13.66,4282500.00
2020-01-03 00:00:00+00:00,12.93,13.62,13.73,13.59,13.70,2593000.00
2020-01-06 00:00:00+00:00,13.13,13.82,13.84,13.64,13.65,3777500.00
2020-01-07 00:00:00+00:00,13.33,14.04,14.12,13.96,14.10,6581000.00
2020-01-08 00:00:00+00:00,13.38,14.09,14.22,14.07,14.16,8201000.00
2020-01-09 00:00:00+00:00,13.49,14.21,14.33,14.12,14.28,11886500.00
2020-01-10 00:00:00+00:00,13.46,14.17,14.29,14.15,14.29,5602500.00
2020-01-13 00:00:00+00:00,13.61,14.33,14.34,14.22,14.28,6361500.00
2020-01-14 00:00:00+00:00,13.77,14.49,14.59,14.40,14.59,9704000.00
2020-01-15 00:00:00+00:00,13.60,14.32,14.42,14.29,14.32,5429500.00
2020-01-16 00:00:00+00:00,13.79,14.52,14.54,14.44,14.45,5794500.00
2020-01-17 00:00:00+00:00,13.77,14.50,14.54,14.43,14.54,3902500.00
2020-01-21 00:00:00+00:00,13.70,14.43,14.50,14.42,14.50,4836000.00
2020-01-22 00:00:00+00:00,13.75,14.48,14.54,14.43,14.51,3804000.00
2020-01-23 00:00:00+00:00,13.79,14.52,14.55,14.40,14.55,2898500.00
2020-01-24 00:00:00+00:00,13.65,14.38,14.54,14.30,14.53,3391500.00
2020-01-27 00:00:00+00:00,13.54,14.26,14.34,14.23,14.29,6336500.00
2020-01-28 00:00:00+00:00,13.68,14.40,14.44,14.27,14.34,4063000.00
2020-01-29 00:00:00+00:00,13.64,14.36,14.40,14.33,14.38,3065000.00
2020-01-30 00:00:00+00:00,13.51,14.23,14.26,14.04,14.13,4354500.00
2020-01-31 00:00:00+00:00,13.33,14.04,14.20,13.98,14.20,4787000.00
2020-02-03 00:00:00+00:00,13.39,14.10,14.18,14.05,14.06,9055500.00
2020-02-04 00:00:00+00:00,13.87,14.60,14.77,14.23,14.43,7893500.00
2020-02-05 00:00:00+00:00,13.39,14.10,14.21,14.07,14.13,8995000.00
2020-02-06 00:00:00+00:00,13.59,14.31,14.31,14.19,14.19,3313000.00
2020-02-07 00:00:00+00:00,13.31,14.02,14.25,13.94,14.20,7312000.00
2020-02-10 00:00:00+00:00,13.33,14.03,14.04,13.93,14.03,4646500.00
2020-02-11 00:00:00+00:00,13.36,14.06,14.17,14.04,14.13,4260000.00
2020-02-12 00:00:00+00:00,13.44,14.15,14.16,14.06,14.06,2939500.00
2020-02-13 00:00:00+00:00,13.22,13.92,13.98,13.90,13.98,4551500.00
2020-02-14 00:00:00+00:00,13.07,13.77,13.91,13.69,13.90,7426000.00
2020-02-18 00:00:00+00:00,12.66,13.33,13.42,13.22,13.28,11728500.00
2020-02-19 00:00:00+00:00,12.74,13.41,13.47,13.37,13.39,6174500.00
2020-02-20 00:00:00+00:00,12.68,13.35,13.43,13.21,13.38,6630500.00
2020-02-21 00:00:00+00:00,12.52,13.19,13.40,13.15,13.39,4534500.00
2020-02-24 00:00:00+00:00,12.14,12.79,12.92,12.70,12.80,7069000.00
2020-02-25 00:00:00+00:00,12.08,12.72,13.10,12.63,13.05,11132000.00
2020-02-26 00:00:00+00:00,12.14,12.79,12.97,12.76,12.87,7767000.00
2020-02-27 00:00:00+00:00,11.57,12.18,12.54,12.18,12.38,10030000.00
2020-02-28 00:00:00+00:00,11.81,12.44,12.49,11.87,11.90,13613000.00
2020-03-02 00:00:00+00:00,12.19,12.83,12.85,12.46,12.72,10589500.00
2020-03-03 00:00:00+00:00,12.00,12.64,12.90,12.51,12.75,8572500.00
2020-03-04 00:00:00+00:00,12.31,12.96,12.99,12.71,12.76,6119000.00
2020-03-05 00:00:00+00:00,12.05,12.69,12.80,12.58,12.77,6299500.00
2020-03-06 00:00:00+00:00,11.99,12.62,12.65,12.43,12.56,5828000.00
2020-03-09 00:00:00+00:00,11.12,11.71,12.09,11.60,11.64,6874000.00
2020-03-10 00:00:00+00:00,11.46,12.07,12.23,11.81,12.22,15586500.00
2020-03-11 00:00:00+00:00,10.98,11.56,11.87,11.49,11.79,6749000.00
2020-03-12 00:00:00+00:00,9.99,10.51,11.09,10.30,10.91,10360500.00
2020-03-13 00:00:00+00:00,10.70,11.26,11.33,10.66,11.27,10061500.00
2020-03-16 00:00:00+00:00,9.82,10.34,10.77,10.19,10.40,7294500.00
2020-03-17 00:00:00+00:00,10.48,11.04,11.07,10.53,10.68,8512000.00
2020-03-18 00:00:00+00:00,10.41,10.96,11.62,10.42,10.96,18132500.00
2020-03-19 00:00:00+00:00,10.52,11.08,11.21,10.72,10.97,11914500.00
2020-03-20 00:00:00+00:00,10.08,10.61,11.38,10.56,11.30,8065000.00
2020-03-23 00:00:00+00:00,10.05,10.58,10.88,10.32,10.79,7963000.00
2020-03-24 00:00:00+00:00,10.83,11.40,11.40,11.11,11.26,11409500.00
2020-03-25 00:00:00+00:00,10.96,11.54,11.87,11.26,11.68,6125000.00
2020-03-26 00:00:00+00:00,11.49,12.10,12.10,11.60,11.73,7327000.00
2020-03-27 00:00:00+00:00,11.31,11.86,12.12,11.74,11.92,9717000.00
2020-03-30 00:00:00+00:00,11.47,12.03,12.09,11.83,11.99,6076000.00
2020-03-31 00:00:00+00:00,11.28,11.84,12.10,11.72,11.85,5289500.00
2020-04-01 00:00:00+00:00,10.84,11.37,11.69,11.33,11.59,5554500.00
2020-04-02 00:00:00+00:00,11.23,11.78,11.86,11.58,11.67,5539500.00
2020-04-03 00:00:00+00:00,10.96,11.50,11.71,11.35,11.60,3339000.00
2020-04-06 00:00:00+00:00,11.61,12.17,12.25,11.90,11.97,5984000.00
2020-04-07 00:00:00+00:00,11.57,12.13,12.58,12.09,12.55,6735500.00
2020-04-08 00:00:00+00:00,11.84,12.42,12.47,12.14,12.22,5563000.00
2020-04-09 00:00:00+00:00,11.74,12.32,12.49,12.20,12.45,5696500.00
2020-04-13 00:00:00+00:00,11.46,12.02,12.22,11.90,12.20,7758500.00
2020-04-14 00:00:00+00:00,11.71,12.29,12.41,12.18,12.36,8812500.00
2020-04-15 00:00:00+00:00,11.83,12.41,12.44,12.25,12.44,11036500.00
2020-04-16 00:00:00+00:00,11.87,12.45,12.49,12.32,12.48,13701000.00
2020-04-17 00:00:00+00:00,12.29,12.89,12.89,12.70,12.83,15911500.00
2020-04-20 00:00:00+00:00,12.12,12.71,12.89,12.64,12.72,12184500.00
2020-04-21 00:00:00+00:00,11.83,12.41,12.53,12.28,12.44,11018500.00
2020-04-22 00:00:00+00:00,11.95,12.54,12.60,12.49,12.54,4186500.00
2020-04-23 00:00:00+00:00,11.83,12.41,12.70,12.39,12.69,4927500.00
2020-04-24 00:00:00+00:00,12.00,12.59,12.64,12.45,12.64,5790500.00
2020-04-27 00:00:00+00:00,12.10,12.69,12.77,12.64,12.70,6166500.00
2020-04-28 00:00:00+00:00,12.00,12.58,12.81,12.58,12.78,4860500.00
2020-04-29 00:00:00+00:00,12.31,12.92,12.97,12.77,12.88,5968000.00
2020-04-30 00:00:00+00:00,12.25,12.85,12.89,12.68,12.83,5544500.00
2020-05-01 00:00:00+00:00,11.96,12.55,12.72,12.43,12.65,3126000.00
2020-05-04 00:00:00+00:00,11.81,12.39,12.51,12.27,12.46,3840500.00
2020-05-05 00:00:00+00:00,12.09,12.68,12.75,12.56,12.58,4786000.00
2020-05-06 00:00:00+00:00,12.19,12.79,12.85,12.65,12.79,4568000.00
2020-05-07 00:00:00+00:00,12.27,12.87,12.92,12.78,12.85,4502000.00
2020-05-08 00:00:00+00:00,12.49,13.10,13.18,12.92,13.00,4788500.00
2020-05-11 00:00:00+00:00,12.58,13.19,13.21,13.06,13.15,4584000.00
2020-05-12 00:00:00+00:00,12.51,13.12,13.28,13.11,13.18,5701000.00
2020-05-13 00:00:00+00:00,11.97,12.56,12.81,12.46,12.74,12719000.00
2020-05-14 00:00:00+00:00,12.14,12.73,12.73,12.47,12.59,6649500.00
2020-05-15 00:00:00+00:00,12.20,12.80,12.91,12.70,12.70,6206000.00
2020-05-18 00:00:00+00:00,12.22,12.81,12.89,12.54,12.60,9884500.00
2020-05-19 00:00:00+00:00,12.02,12.61,12.87,12.60,12.86,10592000.00
2020-05-20 00:00:00+00:00,12.04,12.63,12.77,12.61,12.65,10732500.00
2020-05-21 00:00:00+00:00,11.96,12.55,12.68,12.44,12.60,6073000.00
2020-05-22 00:00:00+00:00,12.06,12.65,12.66,12.52,12.64,4243500.00
2020-05-26 00:00:00+00:00,11.86,12.44,12.63,12.43,12.56,7175500.00
2020-05-27 00:00:00+00:00,12.01,12.59,12.61,12.40,12.50,7623000.00
2020-05-28 00:00:00+00:00,12.31,12.92,13.07,12.72,12.72,8034500.00
2020-05-29 00:00:00+00:00,12.35,12.95,12.95,12.73,12.84,5884000.00
2020-06-01 00:00:00+00:00,12.49,13.10,13.13,12.91,12.98,7118000.00
2020-06-02 00:00:00+00:00,12.73,13.35,13.36,13.18,13.20,7103000.00
2020-06-03 00:00:00+00:00,12.73,13.36,13.40,13.19,13.20,13616000.00
2020-06-04 00:00:00+00:00,12.62,13.24,13.48,13.21,13.40,5837000.00
2020-06-05 00:00:00+00:00,12.83,13.46,13.51,13.31,13.32,6372500.00
2020-06-08 00:00:00+00:00,13.07,13.71,13.76,13.46,13.50,6963000.00
2020-06-09 00:00:00+00:00,13.05,13.69,13.76,13.58,13.69,4933500.00
2020-06-10 00:00:00+00:00,13.44,14.10,14.12,13.83,14.00,9316500.00
2020-06-11 00:00:00+00:00,12.84,13.47,14.04,13.42,14.03,13922000.00
2020-06-12 00:00:00+00:00,13.02,13.66,13.97,13.37,13.94,11803500.00
2020-06-15 00:00:00+00:00,13.29,13.95,14.00,13.58,13.67,8200500.00
2020-06-16 00:00:00+00:00,13.22,13.87,14.10,13.76,14.10,5146000.00
2020-06-17 00:00:00+00:00,13.65,14.32,14.36,14.15,14.19,6876500.00
2020-06-18 00:00:00+00:00,13.64,14.31,14.37,14.28,14.33,4600000.00
2020-06-19 00:00:00+00:00,13.53,14.20,14.37,14.15,14.34,7569500.00
2020-06-22 00:00:00+00:00,13.67,14.34,14.36,14.19,14.25,3029500.00
2020-06-23 00:00:00+00:00,13.66,14.33,14.47,14.32,14.36,5948500.00
2020-06-24 00:00:00+00:00,13.47,14.13,14.30,14.06,14.28,3232500.00
2020-06-25 00:00:00+00:00,13.54,14.20,14.22,13.94,14.03,3411500.00
2020-06-26 00:00:00+00:00,13.29,13.94,14.08,13.84,14.05,4766500.00
2020-06-29 00:00:00+00:00,13.10,13.74,13.77,13.63,13.75,4860500.00
2020-06-30 00:00:00+00:00,13.18,13.83,13.84,13.69,13.73,3683500.00
2020-07-01 00:00:00+00:00,13.42,14.08,14.19,13.83,13.83,7748500.00
2020-07-02 00:00:00+00:00,13.39,14.05,14.10,13.99,14.10,5435000.00
2020-07-06 00:00:00+00:00,13.45,14.11,14.16,14.06,14.10,6987500.00
